"","ID","date","Value","FunSys_item","EqGr","EqGr_no","ComGr_no","Unit","MsureGr","MsureGr_lvl"
"44","01CT002_XQ60",2007-07-12,26.4653114555312,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"45","01CT002_XQ60",2007-07-13,26.7493232254907,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"46","01CT002_XQ60",2007-07-14,25.8686560262066,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"47","01CT002_XQ60",2007-07-15,26.0537590708941,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"48","01CT002_XQ60",2007-07-16,26.154631173967,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"49","01CT002_XQ60",2007-07-17,25.9450514980179,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"50","01CT002_XQ60",2007-07-18,26.1791854517448,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"51","01CT002_XQ60",2007-07-19,25.8331871962199,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"52","01CT002_XQ60",2007-07-20,26.1291816121325,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"53","01CT002_XQ60",2007-07-21,25.9046178202656,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"54","01CT002_XQ60",2007-07-22,26.1095770391123,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"55","01CT002_XQ60",2007-07-23,27.3409493182529,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"56","01CT002_XQ60",2007-07-24,26.7263068064369,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"57","01CT002_XQ60",2007-07-25,26.4847803441319,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"58","01CT002_XQ60",2007-07-26,26.3108009731383,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"59","01CT002_XQ60",2007-07-27,26.1983419597483,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"60","01CT002_XQ60",2007-07-28,26.4073957279144,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"61","01CT002_XQ60",2007-07-29,26.7845111212633,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"62","01CT002_XQ60",2007-07-30,27.1618835101545,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"63","01CT002_XQ60",2007-07-31,27.6323311862135,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
